Symbol,Tradable,DollarVolume,Price,Score,Rank,AsOf
CSX,Y,5.09344e+08,47.19,,,2026-09-23
CTAS,Y,3.81785e+08,191.97,,,2026-09-23
CTSH,Y,3.78589e+08,59.14,,,2026-09-23
CUBE,Y,8.28074e+07,38.14,,,2026-09-23
CUZ,Y,4.14402e+07,28.25,,,2026-09-23
CVBF,Y,2.9556e+07,22.01,,,2026-09-23
CVI,Y,3.42673e+07,51.8,,,2026-09-23
CVS,Y,6.72101e+08,85.86,,,2026-09-23
CVX,Y,1.56293e+09,205.51,,,2026-09-23
CX,Y,6.77915e+07,9.76,,,2026-09-23
CXW,Y,4.96289e+07,32.28,,,2026-09-23
CYTK,Y,1.30239e+08,65.81,,,2026-09-23
D,Y,2.6189e+08,61.17,,,2026-09-23
DAL,Y,4.77052e+08,81.75,,,2026-09-23
DAN,Y,3.7715e+07,29.7,,,2026-09-23
DAR,Y,1.34217e+08,61.36,,,2026-09-23
DB,Y,6.70316e+07,35.87,,,2026-09-23
DD,Y,1.71161e+08,130.88,,,2026-09-23
DE,Y,6.66102e+08,709.48,,,2026-09-23
DECK,Y,2.27667e+08,78.59,,,2026-09-23
DEI,Y,1.97958e+07,9.89,,,2026-09-23
DEO,Y,8.03731e+07,86.11,,,2026-09-23
DHI,Y,3.22627e+08,140.17,,,2026-09-23
DHR,Y,7.33786e+08,221.56,,,2026-09-23
DHT,Y,5.54304e+07,21.28,,,2026-09-23
DINO,Y,2.39346e+08,106.14,,,2026-09-23
DIS,Y,9.29281e+08,103.46,,,2026-09-23
DK,Y,8.67992e+07,72.26,,,2026-09-23
DKS,Y,2.9397e+08,132.36,,,2026-09-23
DLTR,Y,3.21252e+08,113.16,,,2026-09-23
DOC,Y,1.15121e+08,20.48,,,2026-09-23
DOV,Y,2.27588e+08,189.03,,,2026-09-23
DOX,Y,6.39286e+07,58.36,,,2026-09-23
DRH,Y,2.94037e+07,12.24,,,2026-09-23
DRI,Y,2.4986e+08,213.69,,,2026-09-23
DTE,Y,1.79687e+08,122.89,,,2026-09-23
DUK,Y,4.49843e+08,114.17,,,2026-09-23
DVN,Y,4.88672e+08,48.04,,,2026-09-23
DX,Y,6.40054e+07,11.73,0.736067,29,2026-09-23
DXC,Y,2.75468e+07,10.88,,,2026-09-23
DXCM,Y,3.21463e+08,87.73,,,2026-09-23
EAT,Y,2.14337e+08,210.8,,,2026-09-23
EBAY,Y,4.20255e+08,109.09,,,2026-09-23
EC,Y,3.21476e+07,16.69,,,2026-09-23
ECHO,Y,3.47073e+08,92.72,,,2026-09-23
ECL,Y,3.31763e+08,276.72,,,2026-09-23
ED,Y,2.24422e+08,102.61,,,2026-09-23
EFX,Y,2.27636e+08,155.32,,,2026-09-23
EGO,Y,8.2629e+07,42.84,,,2026-09-23
EIX,Y,2.26309e+08,53.51,,,2026-09-23
EL,Y,2.15948e+08,98.83,,,2026-09-23
ELS,Y,9.17761e+07,59.68,,,2026-09-23
ELV,Y,4.4556e+08,398.56,,,2026-09-23
EMBJ,Y,8.14085e+07,75.43,,,2026-09-23
EMN,Y,6.99647e+07,66.8,,,2026-09-23
EMR,Y,3.46428e+08,154.59,,,2026-09-23
ENB,Y,2.26747e+08,47.85,,,2026-09-23
ENOV,Y,2.82281e+07,18.24,,,2026-09-23
ENTG,Y,3.06732e+08,150.93,,,2026-09-23
EOG,Y,4.07016e+08,141.84,,,2026-09-23
EPD,Y,9.65159e+07,37.57,,,2026-09-23
EQNR,Y,1.20667e+08,42.9,,,2026-09-23
EQT,Y,3.456e+08,51.06,,,2026-09-23
ERIC,Y,1.01694e+08,9.73,,,2026-09-23
ES,Y,1.40961e+08,64.91,,,2026-09-23
ET,Y,1.73398e+08,20.49,1.03057,24,2026-09-23
ETN,Y,7.72492e+08,438.76,,,2026-09-23
ETR,Y,2.69154e+08,99.23,,,2026-09-23
EVRG,Y,1.63255e+08,78.42,,,2026-09-23
EW,Y,3.18869e+08,86.82,,,2026-09-23
EXC,Y,3.15929e+08,40.69,,,2026-09-23
EXEL,Y,1.22738e+08,56.73,,,2026-09-23
EXK,Y,6.90208e+07,9.26,,,2026-09-23
EXLS,Y,6.77653e+07,34.83,,,2026-09-23
EXPD,Y,1.63831e+08,188.03,,,2026-09-23
EXPE,Y,4.37333e+08,259.04,,,2026-09-23
EXR,Y,1.41893e+08,133.84,,,2026-09-23
EXTR,Y,3.87859e+07,22.03,,,2026-09-23
EZPW,Y,2.57687e+07,30.19,,,2026-09-23
F,Y,6.33559e+08,12.94,0.107062,35,2026-09-23
FAST,Y,3.44006e+08,50.99,,,2026-09-23
FBP,Y,3.39704e+07,26.69,,,2026-09-23
FCEL,Y,1.71308e+08,17.18,2.10433,15,2026-09-23
FCX,Y,8.69481e+08,72.58,,,2026-09-23
FDX,Y,4.72172e+08,291.5,,,2026-09-23
FE,Y,1.81706e+08,43.65,,,2026-09-23
FHN,Y,1.11236e+08,23.02,,,2026-09-23
FIS,Y,2.16869e+08,34.67,,,2026-09-23
FISV,Y,3.25867e+08,45.95,,,2026-09-23
FITB,Y,2.98153e+08,51.69,,,2026-09-23
FLEX,Y,3.96981e+08,112.3,,,2026-09-23
FLG,Y,5.29094e+07,12.3,,,2026-09-23
FLR,Y,1.08603e+08,53.06,,,2026-09-23
FLS,Y,1.20731e+08,77.18,,,2026-09-23
FLUT,Y,2.42735e+08,85.89,,,2026-09-23
FMC,Y,3.44176e+07,9.9,,,2026-09-23
FNB,Y,7.70393e+07,17.3,,,2026-09-23
FNF,Y,7.63454e+07,41.85,,,2026-09-23
FORM,Y,1.3349e+08,131.26,,,2026-09-23
FR,Y,6.48625e+07,61.07,,,2026-09-23
FRO,Y,8.21004e+07,47.56,,,2026-09-23
FSLR,Y,4.02385e+08,191.97,,,2026-09-23
FSM,Y,4.92679e+07,11.66,,,2026-09-23
FTI,Y,2.31143e+08,71.24,,,2026-09-23
FULT,Y,3.73855e+07,22.75,,,2026-09-23
FUN,Y,3.23945e+07,12.43,-1.20988,54,2026-09-23
G,Y,6.82295e+07,33.85,,,2026-09-23
GAP,Y,1.29522e+08,21.28,,,2026-09-23
GBCI,Y,4.69759e+07,44.13,,,2026-09-23
GD,Y,3.70287e+08,343.33,,,2026-09-23
GE,Y,1.31834e+09,319.8,,,2026-09-23
GEN,Y,1.40102e+08,26.23,,,2026-09-23
GEO,Y,5.77866e+07,30.62,,,2026-09-23
GFI,Y,1.33572e+08,40.82,,,2026-09-23
GGG,Y,1.10235e+08,78.37,,,2026-09-23
GIL,Y,5.32536e+07,46.19,,,2026-09-23
GILD,Y,8.33623e+08,151.37,,,2026-09-23
GIS,Y,3.31078e+08,35.82,-2.0957,66,2026-09-23
GLNG,Y,5.37895e+07,49.94,,,2026-09-23
GLW,Y,1.51945e+09,154.48,2.36867,13,2026-09-23
GME,Y,9.84174e+07,24.2,-1.36022,57,2026-09-23
GNTX,Y,5.28204e+07,22.18,,,2026-09-23
GNW,Y,2.7689e+07,9.63,,,2026-09-23
GOOG,Y,5.82864e+09,334.98,1.18372,21,2026-09-23
